Symbol,Name,Sector,Industry
078350,한양디지텍,반도체 제조업,메모리 모듈
007770,한일화학,기초 화학물질 제조업,산화아연
086960,한컴MDS,소프트웨어 개발 및 공급업,"임베디드개발솔루션,임베디드소프트웨어"
279410,한화에이스스팩4호,금융 지원 서비스업,기업인수합병
076610,해성옵틱스,사진장비 및 광학기기 제조업,휴대폰용 렌즈모듈 및 카메라모듈
900270,헝셩그룹,기타 금융업,자회사 제품 : 아동용 완구 및 아동복 등
039610,화성밸브,일반 목적용 기계 제조업,"가스밸브, 매몰용접용 볼밸브, 온수분배기"
204630,화이브라더스코리아,창작 및 예술관련 서비스업,창작 및 예술관련 서비스업
200670,휴메딕스,의약품 제조업,"히알루론산 관절염치료제, 히알루론산 더말필러"
244880,나눔테크,의료용 기기 제조업,"자동심장충격기, 골밀도진단기"
232680,라온테크,특수 목적용 기계 제조업,"반도체 및 FPD,Industry용 로봇과 자동화시스템"
200350,래몽래인,"영화, 비디오물, 방송프로그램 제작 및 배급업",TV드라마제작
302550,리메드,의료용 기기 제조업,자기장 치료기기
260870,시그넷이브이,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",전기차 충전기
246250,에스엘에스바이오,기타 과학기술 서비스업,"신 의료 진단기술 연구개발, 의약품 연구개발 지원, 의약품 품질 관리 사업 등"
064850,에프앤가이드,금융 지원 서비스업,금융정보제공서비스(FnGuide.com)
084440,유비온,기타 정보 서비스업,이러닝(E-Learning)
211050,인카금융서비스,보험 및 연금관련 서비스업,보험판매
120780,전우정밀,자동차 신품 부품 제조업,차량 도어부품 등
314130,지놈앤컴퍼니,기초 의약물질 및 생물학적 제제 제조업,생체유익균 치료제/건강기능식품/화장품
258050,테크트랜스,기타 금속 가공제품 제조업,비철금속표면처리장비 및 솔루션
191600,티케이씨,전자부품 제조업,
266870,파워풀엑스,생활용품 도매업,플렉스파워 리커버리크림
027410,BGF,기타 금융업,지주회사
138930,BNK금융지주,기타 금융업,금융지주회사
000590,CS홀딩스,기타 금융업,"브랜드 수익, 자회사 배당"
114090,GKL,유원지 및 기타 오락관련 서비스업,카지노
006360,GS건설,건물 건설업,"토목공사,건축공사,주택공사,산업플랜트공사,리모델링공사,시설물유지관리공사/산업설비설계,감리 용역,수출입/에너지관리 진단,연구개발"
001250,GS글로벌,상품 종합 도매업,"수출입업(시멘트,철강금속,전기전자,섬유,기계화학),상품중개,광업,채석업/하수처리 서비스/부동산 임대"
105560,KB금융,기타 금융업,-
034220,LG디스플레이,전자부품 제조업,액정표시장치(TFT-LCD) 제조
064960,S&T모티브,자동차 신품 부품 제조업,"자동차부품(서스펜션모듈,전장품,속옵서버,에어백,트로틀바디,너클),방산품(총포) 제조,도매"
101060,SBS미디어홀딩스,기타 금융업,지주회사
001380,SG충방,자동차 신품 부품 제조업,"자동차시트커버(Seat Trim Cover), 면사, 면ㆍ혼방사 등의 제조 및 판매"
034730,SK,기타 금융업,"지주회사, 시스템통합(SI), 정보통신사업 관련 컨설팅,조사용역,정보통신기술 연구개발/정보통신기기,소프트웨어 개발,도매"
011790,SKC,기타 화학제품 제조업,"폴리에스테르필름,합성수지,LCD용 필름 제조"
012320,경동인베스트,기타 금융업,지주회사
214390,경보제약,기초 의약물질 및 생물학적 제제 제조업,"아토르바스타틴, 세프티족심, 세프트리약손"
014280,금강공업,1차 철강 제조업,"건설가설재,강관,거푸집 제조,판매"
214330,금호에이치티,자동차 신품 부품 제조업,자동차용 전구 및 LED모듈
004540,깨끗한나라,"펄프, 종이 및 판지 제조업","펄프,판지원지,화장지 제조,수출입"
004270,남성,기타 전문 도매업,"수출입(카오디오)/통신기기 제조,판매/이동통신,유선방송,정보통신/생활필수품,식품 판매/부동산 임대"
251270,넷마블,소프트웨어 개발 및 공급업,온라인·모바일 게임 소프트웨어 개발 및 공급
006370,대구백화점,종합 소매업,"백화점운영,임대사업(백화점 코너)"
000210,대림산업,토목 건설업,"산업플랜트공사,건축,토목,폴리에틸렌,폴리부텐,각종폴리머 제조,기술용역"
006570,대림통상,기타 금속 가공제품 제조업,"수전금구,비데,위생도기,샤워부스,타일,양식기,무역"
009190,대양금속,1차 철강 제조업,스테인레스 냉연강판 제조
047040,대우건설,건물 건설업,"아파트건설,토목공사,건축공사,포장공사,전기공사,무역/중장비 대여"
001070,대한방직,직물직조 및 직물제품 제조업,"면사,화섬사,면직물 제조,판매,건설"
001440,대한전선,절연선 및 케이블 제조업,"전력선,통신케이블,적산계기,스텐레스압연제품,광케이블,초고압선,알루미늄 제조,도매/전기공사"
084010,대한제강,1차 철강 제조업,"제강,철재,철근,환봉,마환봉,빌레트 제조"
016090,대현,봉제의복 제조업,"여성의류 및 악세사리류 제조,도매,유통(백화점)"
007590,동방아그로,"비료, 농약 및 살균, 살충제 제조업","농약(잡초발생전 토양처리형 밭잡초약,부메랑,주움,그라목손) 제조,도매"
083370,동북아12호선박투자,운송장비 임대업,운수장비 임대
102260,동성코퍼레이션,회사 본부 및 경영 컨설팅 서비스업,
082640,동양생명,보험업,생명보험
018500,동원금속,자동차 신품 부품 제조업,"자동차부품(도어후레임,머플러,임팩트빔),강관 제조,판매"
042670,두산인프라코어,특수 목적용 기계 제조업,"굴삭기,엔진 제조,도소매"
016740,두올,자동차 신품 부품 제조업,시트 커버 및 시트 원단
024090,디씨엠,1차 철강 제조업,"PCM(칼라강판),라미네이트강판,산업용필름 제조,판매"
280360,롯데제과,기타 식품 제조업,"껌,캔디,초코,비스켓,빙과"
107590,미원홀딩스,기타 금융업,도료첨가제
035150,백산,플라스틱제품 제조업,"P.U.인조피혁,부직포인공피혁 제조,무역"
002410,범양건영,건물 건설업,"토목공사,주택건설,건축공사,난방공사,전기공사,포장공사"
002760,보락,기타 화학제품 제조업,"식품향료,식품첨가물,화학제품,껌베이스(자일리톨,에리스리톨),담배향료 제조,판매"
000890,보해양조,알코올음료 제조업,"주류(소주,매취,실비우스,위스키) 제조,음료 도매"
003960,사조대림,수산물 가공 및 저장 처리업,"게맛살,어육연제품,식용류,배합사료 제조"
008040,사조동아원,"곡물가공품, 전분 및 전분제품 제조업","제분, 배합사료 제조"
014710,사조씨푸드,수산물 가공 및 저장 처리업,횟감용 참치 및 기타 일반수산물
145990,삼양사,기타 식품 제조업,설탕
