Symbol,Name,Sector,Industry
006050,국영지앤엠,유리 및 유리제품 제조업,강화유리
060480,국일신동,1차 비철금속 제조업,황동봉
187790,나노,기초 화학물질 제조업,세라믹스제품
039860,나노엔텍,의료용 기기 제조업,의료기기 및 실험기기
293580,나우아이비캐피탈,기타 금융업,"투자조합, PEF 결성 및 투자"
168330,내츄럴엔도텍,자연과학 및 공학 연구개발업,"백수오 여성호르몬제, 백수오등복합추출물(원료)"
089140,넥스턴,유리 및 유리제품 제조업,CNC자동선반
126870,뉴로스,일반 목적용 기계 제조업,터보블로워
144960,뉴파워프라즈마,특수 목적용 기계 제조업,플라즈마 세정기(Remote Plasma Cleaning Generator)
900100,뉴프라이드,자동차 부품 및 내장품 판매업,인터모달 신생 및 재생타이어
020400,대동금속,금속 주조업,"농기계 주문제품 및 상용차 실린더 헤드, 경승용차 실린더 브록 외"
045390,대아티아이,기타 전기장비 제조업,"EDMS(Enterprise Document Management System)-전사적문서관리시스템,KMS-지식경영시스템"
290120,대유에이피,자동차 신품 부품 제조업,자동차 스티어링휠
078600,대주전자재료,전자부품 제조업,PDP격벽재료등
096350,대창솔루션,"구조용 금속제품, 탱크 및 증기발생기 제조업",내연기관구조재(선박엔진용MBS)
263600,덕우전자,전자부품 제조업,카메라 모듈 부품
263800,데이타솔루션,"컴퓨터 프로그래밍, 시스템 통합 및 관리업","EMC스토리지, SPSS, SI"
281740,동부스팩5호,금융 지원 서비스업,기업인수합병
088130,동아엘텍,특수 목적용 기계 제조업,LCD검사장비
110990,디아이티,특수 목적용 기계 제조업,평판디스플레이 검사장비
214680,디알텍,의료용 기기 제조업,X-ray Detector
033430,디에스티,특수 목적용 기계 제조업,몰리브덴 등
227100,디자인,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",스마트 액세서리(보조배터리 등)
050120,라이브플렉스,생활용품 도매업,"텐트, 원 ·부자재"
217500,러셀,특수 목적용 기계 제조업,반도체장비 리퍼비시
238120,로고스바이오,사진장비 및 광학기기 제조업,"자동세포카운팅시스템, 생체조직투명화시스템, 디지털세포이미징시스템"
071280,로체시스템즈,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",LCD 제조용 이송장비
267980,매일유업,낙농제품 및 식용빙과류 제조업,"유제품(우유, 분유, 발효유, 치즈, 음료 등)"
041920,메디아나,의료용 기기 제조업,"환자감시장치, 자동심장 제세동기(AED)"
059210,메타바이오메드,의료용품 및 기타 의약 관련제품 제조업,"생체분해성봉합사,근관충전재"
080160,모두투어,여행사 및 기타 여행보조 서비스업,"항공권판매수수료,해외여행알선"
033200,모아텍,전자부품 제조업,위치제어용초정및소형모터
118990,모트렉스,자동차 신품 부품 제조업,차량용 인포테인먼트
028040,미래SCI,기타 비금속 광물제품 제조업,규사
059090,미코,반도체 제조업,반도체 및 디스플레이 부품 제조
201490,미투온,소프트웨어 개발 및 공급업,소셜 카지노 게임
177350,베셀,특수 목적용 기계 제조업,디스플레이 제조장비
250000,보라티알,음·식료품 및 담배 도매업,"유가공품, 소스류, 파스타류"
066980,브레인콘텐츠,기타 정보 서비스업,TFT-LCD용 광기능성 필름
251630,브이원텍,특수 목적용 기계 제조업,LCD/OLED 압흔검사기
033560,블루콤,영상 및 음향기기 제조업,"마이크로스피커, 블루투스헤드셋, Linear 진동모터"
141000,비아트론,특수 목적용 기계 제조업,AMOLED 등 제조장비
082920,비츠로셀,일차전지 및 축전지 제조업,리튬1차전지
032850,비트컴퓨터,소프트웨어 개발 및 공급업,의료정보시스템
072950,빛샘전자,전자부품 제조업,"전광판용 LED 모듈, LED 전광판, 광접속함체"
014970,삼륭물산,"골판지, 종이 상자 및 종이용기 제조업",카톤팩
225190,삼양옵틱스,사진장비 및 광학기기 제조업,디지털 카메라용 교환렌즈
032280,삼일,도로 화물 운송업,운송및하역수입
002290,삼일기업공사,건물 건설업,도급공사
037460,삼지전자,통신 및 방송 장비 제조업,"통신기기,정보기기,BACKLIGHTUNIT사업"
032750,삼진,통신 및 방송 장비 제조업,리모트컨트롤러
038500,삼표시멘트,기타 비금속 광물제품 제조업,"시스템통합(SI), 네트워크장비"
046390,삼화네트웍스,"영화, 비디오물, 방송프로그램 제작 및 배급업","시스템통합(SI), 시스템유지(SM)"
091580,상신이디피,일차전지 및 축전지 제조업,2차전지부품
089980,상아프론테크,플라스틱제품 제조업,"LCD 부품, 사무기기 부품, PCB 부품, 2차전지 부품"
038070,서린바이오,기타 전문 도매업,생명과학연구기기및시약
018680,서울제약,의약품 제조업,"정제,연질캅셀제,경질캅셀제,연고 및 크림제 등"
189860,서전기전,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",수배전반
178320,서진시스템,통신 및 방송 장비 제조업,"통신장비부품,휴대폰부품(메탈케이스 등)"
015750,성우하이텍,자동차 신품 부품 제조업,자동차범퍼
017510,세명전기,기타 금속 가공제품 제조업,"154kV, 345kV, 765kV 송전,변전,배전용 금구류, 섬유직기용 섹셔날 빔"
214310,세미콘라이트,반도체 제조업,LED Chip
058530,슈펙스비앤피,생활용품 도매업,"PCB생산 장비 제조(로더, 언로더, 레이업시스템 등)"
115570,스타플렉스,플라스틱제품 제조업,"광고용 플렉스(조명용, 비조명용)"
013810,스페코,특수 목적용 기계 제조업,아스팔트믹싱플랜트
039670,스포츠서울,"서적, 잡지 및 기타 인쇄물 출판업",신문사업(스포츠ㆍ연예 전문 일간지)
025870,신라에스지,음·식료품 및 담배 도매업,수산물도매
036710,심텍홀딩스,기타 금융업,반도체용 인쇄회로기판
