Date,Close,Open,High,Low,Volume,Change
2016-08-25,257.26,256.78,257.76,256.0,58800.0,-0.0002
2016-08-26,256.23,256.17,256.76,255.02,68300.0,-0.004
2016-08-29,256.49,254.93,256.66,254.45,62760.0,0.001
2016-08-30,257.49,257.27,258.93,257.0,56520.0,0.0039000000000000003
2016-08-31,256.87,257.21,257.49,255.9,66350.0,-0.0024
2016-09-01,256.03,254.95,256.13,253.86,56100.0,-0.0033
2016-09-02,256.5,256.16,256.73,255.57,49270.0,0.0018
2016-09-05,259.64,257.85,259.74,257.63,54170.0,0.012199999999999999
2016-09-06,260.93,259.39,261.16,259.26,49970.0,0.005
2016-09-07,260.31,261.15,262.1,260.31,68750.0,-0.0024
2016-09-08,260.86,260.72,261.48,259.41,79380.0,0.0021
2016-09-09,257.31,258.68,258.94,256.21,70050.0,-0.013600000000000001
2016-09-12,250.53,252.37,253.43,250.53,66330.0,-0.0263
2016-09-13,251.77,253.39,253.55,251.66,74550.0,0.0049
2016-09-19,253.93,251.51,254.54,251.38,59750.0,0.0086
2016-09-20,255.09,253.86,255.23,253.33,54630.0,0.0046
2016-09-21,256.52,254.65,256.55,254.56,51980.0,0.005600000000000001
2016-09-22,258.34,258.46,259.99,258.13,59900.0,0.0070999999999999995
2016-09-23,258.37,258.44,259.14,257.71,58390.0,0.0001
2016-09-26,257.48,258.07,259.32,256.9,43880.0,-0.0034000000000000002
2016-09-27,259.57,256.16,259.87,255.16,58680.0,0.008100000000000001
2016-09-28,258.21,259.32,259.46,257.96,59190.0,-0.0052
2016-09-29,260.35,259.6,260.95,259.6,65370.00000000001,0.0083
2016-09-30,257.49,258.3,258.91,257.29,74920.0,-0.011000000000000001
2016-10-04,259.18,259.51,259.74,258.55,62560.0,0.0066
2016-10-05,258.99,257.51,259.49,256.67,58010.0,-0.0007000000000000001
2016-10-06,261.13,261.6,261.68,259.65,64940.0,0.0083
2016-10-07,260.06,261.17,261.53,259.73,62370.0,-0.0040999999999999995
2016-10-10,260.31,258.85,260.71,257.68,74080.0,0.001
2016-10-11,256.15,259.29,260.4,255.93,68770.0,-0.016
2016-10-12,256.2,254.69,256.67,254.56,62690.0,0.0002
2016-10-13,253.93,256.19,256.6,253.79,58490.0,-0.0089
2016-10-14,255.09,254.7,255.91,254.66,61590.0,0.0046
2016-10-17,256.19,255.9,257.07,253.71,55160.0,0.0043
2016-10-18,257.98,256.17,258.04,255.99,59070.0,0.006999999999999999
2016-10-19,258.21,257.25,259.67,257.17,62060.0,0.0009
2016-10-20,258.41,258.55,259.28,257.8,60710.0,0.0008
2016-10-21,257.26,258.16,258.39,256.82,52580.0,-0.0045000000000000005
2016-10-24,259.48,257.83,259.48,257.76,53740.0,0.0086
2016-10-25,258.57,258.79,258.92,257.82,68930.0,-0.0034999999999999996
2016-10-26,255.52,257.73,257.73,254.13,65630.0,-0.0118
2016-10-27,256.66,256.25,256.99,255.62,68400.0,0.0045000000000000005
2016-10-28,256.53,256.45,257.3,255.89,53170.0,-0.0005
2016-10-31,255.93,255.6,256.66,255.21,59120.0,-0.0023
2016-11-01,255.99,255.35,256.3,253.51,71630.0,0.0002
2016-11-02,252.83,254.27,254.77,252.33,67050.0,-0.0123
2016-11-03,252.9,252.44,253.74,251.72,56220.0,0.0003
2016-11-04,252.57,252.85,253.29,251.86,44620.0,-0.0013
2016-11-07,254.6,254.79,255.42,254.0,49040.0,0.008
2016-11-08,255.26,256.2,256.31,254.1,46850.0,0.0026
2016-11-09,249.67,255.83,257.03,246.51,123180.0,-0.0219
2016-11-10,255.31,253.8,255.31,252.64,119320.0,0.0226
2016-11-11,251.99,252.93,253.88,251.9,101510.0,-0.013000000000000001
2016-11-14,250.01,251.59,252.36,250.0,100350.0,-0.0079
2016-11-15,249.2,250.39,250.93,249.18,87820.0,-0.0032
2016-11-16,250.32,250.93,251.54,250.23,79970.0,0.0045000000000000005
2016-11-17,250.46,249.62,250.86,248.71,67350.0,0.0006
2016-11-18,250.21,250.9,251.02,249.23,78550.0,-0.001
2016-11-21,249.51,249.7,250.8,248.93,55390.0,-0.0028000000000000004
2016-11-22,252.37,250.85,252.85,250.47,62530.0,0.0115
2016-11-23,253.66,253.09,254.71,252.22,68300.0,0.0051
2016-11-24,252.03,253.22,253.71,251.44,53640.0,-0.0064
2016-11-25,252.26,252.19,252.84,251.64,44610.0,0.0009
2016-11-28,252.96,252.46,253.63,250.87,45860.0,0.0028000000000000004
2016-11-29,252.91,252.98,253.63,252.32,50820.0,-0.0002
2016-11-30,254.26,253.2,255.0,252.86,67940.0,0.0053
2016-12-01,254.48,254.84,255.23,254.06,59350.0,0.0009
2016-12-02,252.88,253.93,254.22,252.06,55140.0,-0.0063
2016-12-05,252.14,252.12,253.04,251.52,50360.0,-0.0029
2016-12-06,255.63,253.88,256.27,253.85,61480.0,0.0138
2016-12-07,256.34,256.57,257.05,255.96,54700.0,0.0028000000000000004
2016-12-08,262.0,258.79,262.0,258.63,74290.0,0.022099999999999998
2016-12-09,260.91,261.24,261.29,260.34,58350.0,-0.0042
2016-12-12,260.72,261.59,261.69,259.89,56950.0,-0.0007000000000000001
2016-12-13,261.63,260.38,261.72,260.08,77990.0,0.0034999999999999996
2016-12-14,262.0,262.64,262.86,261.12,55930.0,0.0014000000000000002
2016-12-15,261.45,259.9,262.08,259.82,55040.0,-0.0021
2016-12-16,262.56,261.59,262.91,261.16,60480.0,0.0042
2016-12-19,261.93,262.03,263.22,261.86,46960.0,-0.0024
2016-12-20,262.59,262.78,263.26,262.14,51200.0,0.0025
2016-12-21,262.1,263.76,264.42,262.1,62170.0,-0.0019
2016-12-22,261.97,262.71,262.92,261.66,53380.0,-0.0005
2016-12-23,261.61,262.1,262.26,261.3,46540.0,-0.0014000000000000002
2016-12-26,261.9,261.83,262.27,261.36,45260.0,0.0011
2016-12-27,262.49,262.35,262.85,261.79,52540.0,0.0023
2016-12-28,259.7,259.65,260.59,259.52,54260.0,-0.0106
2016-12-29,260.01,259.02,260.04,258.62,48690.0,0.0012
2017-01-02,260.36,259.42,261.21,258.64,36910.0,0.0013
2017-01-03,262.97,261.55,263.0,260.72,61840.0,0.01
2017-01-04,263.12,263.19,263.27,262.47,68770.0,0.0006
2017-01-05,261.98,262.88,262.94,261.64,78820.0,-0.0043
2017-01-06,263.2,263.01,263.61,262.66,56570.0,0.004699999999999999
2017-01-09,263.74,263.83,264.55,263.34,59180.0,0.0021
2017-01-10,263.73,263.15,263.88,262.83,60750.0,-0.0
2017-01-11,268.15,264.24,268.91,264.18,76590.0,0.0168
2017-01-12,269.95,268.48,269.95,267.93,70690.0,0.0067
2017-01-13,267.91,268.34,268.68,267.66,61590.0,-0.0076
2017-01-16,266.15,267.71,268.53,265.37,63880.0,-0.0066
2017-01-17,267.37,266.65,268.53,266.33,64800.0,0.0046
2017-01-18,267.08,267.64,267.96,265.37,56660.0,-0.0011
2017-01-19,267.7,269.3,270.01,266.39,59530.0,0.0023
2017-01-20,266.52,266.45,267.35,266.18,55380.0,-0.0044
2017-01-23,267.12,266.77,267.84,265.53,56740.0,0.0023
2017-01-24,267.3,267.79,268.25,266.24,54350.0,0.0007000000000000001
2017-01-25,268.15,268.65,269.04,267.28,63440.0,0.0032
2017-01-26,270.48,269.15,271.21,268.47,70100.0,0.0087
2017-01-31,268.09,269.61,270.0,268.09,69680.0,-0.0088
2017-02-01,269.56,269.16,269.97,268.87,65870.0,0.0055000000000000005
2017-02-02,268.49,269.63,271.25,268.01,76730.0,-0.004
2017-02-03,268.85,269.1,269.62,267.37,71590.0,0.0013
2017-02-06,269.49,270.65,271.08,268.75,71640.0,0.0024
2017-02-07,268.97,269.52,269.68,268.51,71250.0,-0.0019
2017-02-08,267.72,268.51,268.56,265.76,64569.99999999999,-0.0046
2017-02-09,267.69,267.99,268.91,267.21,72700.0,-0.0001
2017-02-10,268.66,269.04,269.72,268.43,83140.0,0.0036
2017-02-13,268.81,268.48,268.85,267.88,71070.0,0.0006
2017-02-14,267.9,268.82,269.34,267.05,68620.0,-0.0034000000000000002
2017-02-15,268.81,267.64,269.47,267.06,75720.0,0.0034000000000000002
2017-02-16,268.93,269.48,270.22,268.32,65400.00000000001,0.0004
2017-02-17,268.84,267.6,269.02,267.6,59750.0,-0.0003
2017-02-20,269.73,269.41,269.92,268.57,54540.0,0.0033
2017-02-21,272.11,269.9,273.13,269.7,61710.0,0.0088
2017-02-22,272.85,272.61,273.15,271.96,64580.0,0.0027
2017-02-23,272.89,272.61,273.18,272.18,64489.99999999999,0.0001
2017-02-24,270.38,272.61,272.84,269.76,116670.0,-0.0092
2017-02-27,268.97,270.35,270.62,268.72,81080.0,-0.0052
2017-02-28,270.06,269.27,270.62,269.1,88890.0,0.0040999999999999995
2017-03-02,272.65,272.14,273.34,271.35,105760.0,0.0096
2017-03-03,269.77,271.03,271.48,268.77,78080.0,-0.0106
2017-03-06,270.41,269.07,270.74,268.36,72120.0,0.0024
2017-03-07,271.87,270.22,272.45,269.96,69480.0,0.0054
2017-03-08,272.29,271.65,273.21,271.32,68170.0,0.0015
2017-03-09,271.62,272.73,272.97,271.56,71720.0,-0.0025
2017-03-10,272.29,271.08,273.0,270.24,67630.0,0.0025
2017-03-13,275.41,273.03,276.25,272.79,72080.0,0.0115
2017-03-14,277.89,276.8,278.2,276.51,80670.0,0.009000000000000001
2017-03-15,277.89,276.91,278.22,276.78,72420.0,0.0
2017-03-16,280.11,280.99,281.35,279.26,86730.0,0.008
2017-03-17,281.86,280.02,281.95,279.65,86560.0,0.0062
2017-03-20,280.75,281.08,281.16,280.0,59320.0,-0.0039000000000000003
2017-03-21,283.84,281.54,284.4,281.23,82820.0,0.011000000000000001
2017-03-22,282.63,281.07,282.66,280.85,89310.0,-0.0043
2017-03-23,282.81,283.29,284.38,282.58,76370.0,0.0006
2017-03-24,282.31,282.66,284.0,281.49,71000.0,-0.0018
2017-03-27,280.36,281.1,281.79,279.98,70910.0,-0.0069
2017-03-28,281.25,281.85,282.24,280.5,62560.0,0.0032
